0	1	2	3	4	5	6
0.04	-0.1463	-0.0069	0	1	0	-8.64487796666667
0.017	-0.1463	0.0066	0	1	0	-4.79266385
0.0	-0.1463	-0.0069	0	1	0	-1.5536855166666665
-0.023	-0.1351	0.0066	0	1	0	2.9990773500000003
-0.04	-0.1351	-0.0069	0	1	0	5.792061941666665
-0.0572	-0.1	0.0066	1	0	0	-26.778786816666667
-0.0572	-0.083	-0.0069	1	0	0	-28.735685841666665
-0.0572	-0.06	0.0066	1	0	0	-26.45253700833333
-0.0572	-0.043	-0.0069	1	0	0	-23.3379325
-0.0572	-0.02	0.0066	1	0	0	-15.181121117338373
-0.0683	0.0	-0.0069	1	0	0	2.5507063999999993
-0.0572	0.023	0.0066	1	0	0	21.817666650000003
-0.0572	0.04	-0.0069	1	0	0	27.562116425
-0.0572	0.063	0.0066	1	0	0	31.024846733333334
-0.0572	0.08	-0.0069	1	0	0	30.454799216666665
-0.0572	0.103	0.0066	1	0	0	28.1867898
-0.04	0.1463	-0.0069	0	-1	0	-4.2924936
-0.023	0.1463	0.0066	0	-1	0	-0.7743269916666655
0.0	0.1463	-0.0069	0	-1	0	2.0081448
0.017	0.1351	0.0066	0	-1	0	6.984948583333331
0.04	0.1351	-0.0069	0	-1	0	9.751058666666669
0.0572	0.1	0.0066	-1	0	0	-32.193679925
0.0572	0.083	-0.0069	-1	0	0	-34.127426975000006
0.0572	0.06	0.0066	-1	0	0	-34.729586491666666
0.0572	0.043	-0.0069	-1	0	0	-33.70533696666667
0.0572	0.02	0.0066	-1	0	0	-23.31940245
0.0683	0.0	-0.0069	-1	0	0	-2.813979633333334
0.0572	-0.023	0.0066	-1	0	0	20.263471406776418
0.0572	-0.04	-0.0069	-1	0	0	27.230671541666666
0.0572	-0.063	0.0066	-1	0	0	32.175860533333335
0.0572	-0.08	-0.0069	-1	0	0	31.37334446666667
0.0572	-0.103	0.0066	-1	0	0	28.779309041666664
0.04	-0.1419	0.0026	0	0	-1	0.5803732249999989
0.017	-0.1419	-0.0022	0	0	1	-0.1991357666666671
0.0	-0.1419	0.0026	0	0	-1	0.48936070000000065
-0.023	-0.1307	-0.0022	0	0	1	-0.43849122499999904
-0.04	-0.1307	0.0026	0	0	-1	0.29269968333333196
-0.0527	-0.1	-0.0022	0	0	1	0.1486533166666657
-0.0527	-0.083	0.0026	0	0	-1	0.016722358333334242
-0.0527	-0.06	-0.0022	0	0	1	-0.925851366666667
-0.0527	-0.043	0.0026	0	0	-1	-0.32104696666666577
-0.0527	-0.02	-0.0022	0	0	1	-2.4287345250000003
-0.0639	0.0	0.0026	0	0	-1	0.24479860833333333
-0.0527	0.023	-0.0022	0	0	1	0.1490268583333334
-0.0527	0.04	0.0026	0	0	-1	2.029083858333333
-0.0527	0.063	-0.0022	0	0	1	-1.8498324083333335
-0.0527	0.08	0.0026	0	0	-1	0.9517671750000005
-0.0527	0.103	-0.0022	0	0	1	-0.9345426833333335
-0.04	0.1419	0.0026	0	0	-1	0.41332874166666667
-0.023	0.1419	-0.0022	0	0	1	-0.26214663333333377
0.0	0.1419	0.0026	0	0	-1	0.710352816666667
0.017	0.1307	-0.0022	0	0	1	-0.8957652166666668
0.04	0.1307	0.0026	0	0	-1	0.26195819166666734
0.0527	0.1	-0.0022	0	0	1	-0.45736203333333325
0.0527	0.083	0.0026	0	0	-1	0.7364076250000009
0.0527	0.06	-0.0022	0	0	1	-0.7590707416666662
0.0527	0.043	0.0026	0	0	-1	0.10777110000000079
0.0527	0.02	-0.0022	0	0	1	-3.366622716666666
0.0639	0.0	0.0026	0	0	-1	1.2321003416666647
0.0527	-0.023	-0.0022	0	0	1	2.9357594166666683
0.0527	-0.04	0.0026	0	0	-1	0.13859066666666475
0.0527	-0.063	-0.0022	0	0	1	0.46539433333333236
0.0527	-0.08	0.0026	0	0	-1	0.9624078250000041
0.0527	-0.103	-0.0022	0	0	1	0.277399541666667
